protein	contrast	estimate	pvalue
ACAT2	LB+NL+ vs LB-NL+	-0.0230999474527808	0.968690826174739
ACBD7	LB+NL+ vs LB-NL+	-0.122675835659665	0.842844113225646
ACE	LB+NL+ vs LB-NL+	-0.0382998274397334	0.990961709721655
ACIN1	LB+NL+ vs LB-NL+	-0.154539229941611	0.625328520655928
ACLY	LB+NL+ vs LB-NL+	-0.197664682536522	0.211457023396038
ACO1	LB+NL+ vs LB-NL+	-0.0423931485315669	0.866584084705151
ACO2	LB+NL+ vs LB-NL+	0.0336818442150464	0.834481053879968
ACOT13	LB+NL+ vs LB-NL+	-0.0104272739703681	0.984229611712409
ACOT7	LB+NL+ vs LB-NL+	0.0129410715403313	0.960117592461287
ACOT8	LB+NL+ vs LB-NL+	0.13154241086481	0.338547234459901
ACOT9	LB+NL+ vs LB-NL+	-0.101438297746985	0.455692049115702
ACOX1	LB+NL+ vs LB-NL+	-0.00705772332981911	0.998470332959327
ACP1	LB+NL+ vs LB-NL+	0.0819965296645083	0.688880058800443
ACP2	LB+NL+ vs LB-NL+	-0.094881307513603	0.750850420268016
ACSBG1	LB+NL+ vs LB-NL+	0.0383558575047553	0.973587897615905
ACSF2	LB+NL+ vs LB-NL+	0.0991969659376081	0.637444062466832
ACSF3	LB+NL+ vs LB-NL+	0.0761138705774988	0.773032450730912
ACSL1	LB+NL+ vs LB-NL+	-0.0246944366790557	0.94069372692072
ACSL3	LB+NL+ vs LB-NL+	-0.0173782021162522	0.947945363630624
ACSL6	LB+NL+ vs LB-NL+	-0.0558213916406071	0.698455715861612
ACSS1	LB+NL+ vs LB-NL+	-0.15177561803183	0.504613218295383
ACSS3	LB+NL+ vs LB-NL+	0.0989219171203937	0.875103704791075
ACTA2	LB+NL+ vs LB-NL+	1.79988050205557	0.000861364388866859
ACTB	LB+NL+ vs LB-NL+	0.222317388626454	0.00824000674598535
ACTG1	LB+NL+ vs LB-NL+	0.053802092149333	0.762028480543016
ACTN1	LB+NL+ vs LB-NL+	0.223199412175349	0.164031551690532
ACTN2	LB+NL+ vs LB-NL+	0.412504022500881	0.261767142512589
ACTN4	LB+NL+ vs LB-NL+	-0.0640668773414521	0.571815037056824
ACTR10	LB+NL+ vs LB-NL+	0.00776226588244657	0.993451394743137
ACTR1A	LB+NL+ vs LB-NL+	0.0318691796437038	0.714443896599424
ACTR1B	LB+NL+ vs LB-NL+	0.166049875642075	0.321565076347227
ACTR2	LB+NL+ vs LB-NL+	0.153579181539576	0.0392837124675469
ACTR3	LB+NL+ vs LB-NL+	0.0639365668611671	0.31054977059985
ACTR3B	LB+NL+ vs LB-NL+	0.531299601416092	0.0333533983258442
ACY1	LB+NL+ vs LB-NL+	-0.17013103483491	0.371665376015351
